Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.088109000,1,1,1,1,1,1,1,1
0.088133250,0,1,1,1,1,1,1,1
0.088149750,1,1,1,1,1,1,1,1
0.088166000,0,1,1,1,1,1,1,1
0.088174750,1,1,1,1,1,1,1,1
0.088191000,0,1,1,1,1,1,1,1
0.088223500,1,1,1,1,1,1,1,1
0.116977250,0,1,1,1,1,1,1,1
0.117009750,1,1,1,1,1,1,1,1
0.117041250,0,1,1,1,1,1,1,1
0.117050250,1,1,1,1,1,1,1,1
0.117066750,0,1,1,1,1,1,1,1
0.117091750,1,1,1,1,1,1,1,1
0.117100250,0,1,1,1,1,1,1,1
0.117117250,1,1,1,1,1,1,1,1
0.117125750,0,1,1,1,1,1,1,1
0.117134750,1,1,1,1,1,1,1,1
0.117143250,0,1,1,1,1,1,1,1
0.117152250,1,1,1,1,1,1,1,1
0.117160750,0,1,1,1,1,1,1,1
0.117177750,1,1,1,1,1,1,1,1
0.117194250,0,1,1,1,1,1,1,1
0.117219250,1,1,1,1,1,1,1,1
0.117227750,0,1,1,1,1,1,1,1
0.117260750,1,1,1,1,1,1,1,1
0.117269250,0,1,1,1,1,1,1,1
0.117302250,1,1,1,1,1,1,1,1
0.117310750,0,1,1,1,1,1,1,1
0.117343750,1,1,1,1,1,1,1,1
0.117352250,0,1,1,1,1,1,1,1
0.117385250,1,1,1,1,1,1,1,1
0.117393750,0,1,1,1,1,1,1,1
0.117426750,1,1,1,1,1,1,1,1
0.117435250,0,1,1,1,1,1,1,1
0.117468250,1,1,1,1,1,1,1,1
0.117476750,0,1,1,1,1,1,1,1
0.117509750,1,1,1,1,1,1,1,1
0.117518250,0,1,1,1,1,1,1,1
0.117551250,1,1,1,1,1,1,1,1
0.117559750,0,1,1,1,1,1,1,1
0.117592750,1,1,1,1,1,1,1,1
0.117601250,0,1,1,1,1,1,1,1
0.117634250,1,1,1,1,1,1,1,1
0.117642750,0,1,1,1,1,1,1,1
0.117675750,1,1,1,1,1,1,1,1
0.117684250,0,1,1,1,1,1,1,1
0.117717250,1,1,1,1,1,1,1,1
0.117725750,0,1,1,1,1,1,1,1
0.117734750,1,1,1,1,1,1,1,1
0.117743250,0,1,1,1,1,1,1,1
0.117752250,1,1,1,1,1,1,1,1
0.117760750,0,1,1,1,1,1,1,1
0.117793750,1,1,1,1,1,1,1,1
0.117802250,0,1,1,1,1,1,1,1
0.117827250,1,1,1,1,1,1,1,1
0.117843750,0,1,1,1,1,1,1,1
0.117860750,1,1,1,1,1,1,1,1
0.117869250,0,1,1,1,1,1,1,1
0.117886250,1,1,1,1,1,1,1,1
0.117894750,0,1,1,1,1,1,1,1
0.117919750,1,1,1,1,1,1,1,1
0.117928250,0,1,1,1,1,1,1,1
0.117937250,1,1,1,1,1,1,1,1
0.117961750,0,1,1,1,1,1,1,1
0.117978750,1,1,1,1,1,1,1,1
0.121531500,0,1,1,1,1,1,1,1
0.121563750,1,1,1,1,1,1,1,1
0.121595500,0,1,1,1,1,1,1,1
0.121604250,1,1,1,1,1,1,1,1
0.121613000,0,1,1,1,1,1,1,1
0.121621750,1,1,1,1,1,1,1,1
0.121630500,0,1,1,1,1,1,1,1
