Time [s],Channel 0
259.517224750,0
259.517249750,1
259.517258250,0
259.517275250,1
259.517283750,0
259.517292750,1
259.517317250,0
259.517334250,1
259.517342750,0
259.517375750,1
259.517384250,0
259.517393250,1
259.517417750,0
259.517426750,1
259.517435250,0
259.517460250,1
259.517468750,0
259.517501750,1
259.517510250,0
259.517527250,1
259.517543750,0
259.517584750,1
259.517625250,0
259.517642250,1
259.517658750,0
259.517667750,1
259.517692250,0
259.517709250,1
259.517725750,0
259.517742750,1
259.517751250,0
259.517760250,1
259.517768750,0
259.517793750,1
259.517826250,0
259.517835250,1
259.517843750,0
259.517876750,1
259.517885250,0
259.517894250,1
259.517910750,0
259.517919750,1
259.517952250,0
259.517961250,1
259.517977750,0
259.518010750,1
259.552109000,0
259.552141500,1
259.552173000,0
259.552182000,1
259.552198500,0
259.552223500,1
259.552232000,0
259.552249000,1
259.552257500,0
259.552266500,1
259.552275000,0
259.552284000,1
259.552292500,0
259.552309500,1
259.552326000,0
259.552351000,1
259.552359500,0
259.552368500,1
259.552377000,0
259.552386000,1
259.552394500,0
259.552419500,1
259.552436000,0
259.552461000,1
259.552477500,0
259.552502500,1
259.552511000,0
259.552520000,1
259.552528500,0
259.552561500,1
259.552586000,0
259.552595000,1
259.552603500,0
259.552612500,1
259.552629000,0
259.552646000,1
259.552654500,0
259.552687500,1
259.552696000,0
259.552705000,1
259.552713500,0
259.552722500,1
259.552731000,0
259.552748000,1
259.552772500,0
259.552813500,1
259.552822000,0
259.552839000,1
259.552847500,0
259.552856500,1
259.552889000,0
259.552898000,1
259.552906500,0
259.552915500,1
259.552940000,0
259.552949000,1
259.552957500,0
259.552966500,1
259.552975000,0
259.552984000,1
259.553024500,0
259.553041500,1
259.553066000,0
259.553075000,1
259.553099500,0
259.553116500,1
259.572286000,0
259.572318500,1
259.572350000,0
259.572359000,1
259.572367500,0
259.572376500,1
259.572385000,0
259.572402000,1
259.572442500,0
259.572451500,1
259.572468000,0
259.572485000,1
259.572509500,0
259.572526500,1
259.572551000,0
259.572568000,1
259.572576500,0
259.572609500,1
259.572618000,0
259.572651000,1
259.572659500,0
259.572692500,1
259.572701000,0
259.572734000,1
259.572742500,0
259.572767500,1
259.572776000,0
259.572801000,1
259.572809500,0
259.572818500,1
259.572835000,0
259.572844000,1
259.572852500,0
259.572861500,1
259.572870000,0
259.572887000,1
259.572903500,0
259.572944500,1
259.572961000,0
259.572986000,1
259.572994500,0
259.573027500,1
259.573068000,0
259.573077000,1
259.573109500,0
259.573142500,1
259.573151000,0
259.573184000,1
259.573192500,0
259.573201500,1
259.573234000,0
259.573243000,1
259.573275500,0
259.573316500,1
259.573325000,0
259.573358000,1
259.573366500,0
259.573399500,1
259.573408000,0
259.573441000,1
259.573457500,0
259.573466500,1
259.573483000,0
259.573516000,1
259.573524500,0
259.573541500,1
259.573550000,0
259.573567000,1
259.573599500,0
259.573616500,1
259.573625000,0
259.573633500,1
259.593969500,0
259.594001750,1
259.594033500,0
259.594042250,1
259.594050500,0
259.594059250,1
259.594067500,0
259.594084250,1
259.594092500,0
259.594101250,1
259.594117500,0
259.594126250,1
259.594134500,0
259.594143250,1
259.594151500,0
259.594168250,1
259.594192500,0
259.594209250,1
259.594217500,0
259.594242250,1
259.594250500,0
259.594291250,1
259.594299500,0
259.594332250,1
259.594340500,0
259.594373250,1
259.594381500,0
259.594414250,1
259.594422500,0
259.594455250,1
259.594463500,0
259.594496250,1
259.594504500,0
259.594537250,1
259.594545500,0
259.594578250,1
259.594602500,0
259.594611250,1
259.594619500,0
259.594636250,1
259.594652500,0
259.594661250,1
259.594677500,0
259.594694250,1
259.594702500,0
259.594727250,1
259.594735500,0
259.594744250,1
259.594776500,0
259.594793250,1
259.594802000,0
259.594811000,1
259.602491000,0
259.602523250,1
259.602555000,0
259.602563750,1
259.602580500,0
259.602605250,1
259.602614000,0
259.602631000,1
259.602639500,0
259.602648500,1
259.602657000,0
259.602666000,1
259.602674500,0
259.602691500,1
259.602708000,0
259.602733000,1
259.602741500,0
259.602750500,1
259.602759000,0
259.602768000,1
259.602776500,0
259.602801500,1
259.602818000,0
259.602835000,1
259.602859500,0
259.602868500,1
259.602877000,0
259.602886000,1
259.602894500,0
259.602903500,1
259.602912000,0
259.602945000,1
259.602969500,0
259.602978500,1
259.602987000,0
259.602996000,1
259.603012500,0
259.603021500,1
