t_s,wall_time,spd_count,data0,data1,rpm_count,seq
7.355,23:21:58.800,0,28,42,7210,135
7.355,23:21:58.800,0,28,66,7234,135
7.355,23:21:58.801,0,28,4,7172,135
7.355,23:21:58.801,0,27,250,7162,135
7.355,23:21:58.802,0,28,30,7198,136
7.355,23:21:58.802,0,28,2,7170,136
7.355,23:21:58.802,0,28,44,7212,136
7.975,23:21:59.418,0,28,32,7200,137
7.975,23:21:59.418,0,28,40,7208,137
7.975,23:21:59.418,0,28,32,7200,137
7.975,23:21:59.419,0,28,30,7198,137
7.975,23:21:59.419,0,28,44,7212,137
7.975,23:21:59.420,0,28,64,7232,137
7.975,23:21:59.420,0,28,98,7266,138
7.975,23:21:59.420,0,28,24,7192,138
7.975,23:21:59.421,0,28,20,7188,138
7.975,23:21:59.421,0,28,42,7210,139
8.562,23:22:00.006,0,28,78,7246,139
8.562,23:22:00.006,0,28,60,7228,139
8.562,23:22:00.007,0,28,96,7264,140
8.562,23:22:00.007,0,28,58,7226,140
8.562,23:22:00.007,0,28,12,7180,140
8.562,23:22:00.008,0,27,224,7136,140
8.562,23:22:00.008,0,27,200,7112,140
8.562,23:22:00.008,0,28,80,7248,140
8.562,23:22:00.012,0,28,96,7264,141
8.562,23:22:00.013,0,28,104,7272,141
8.562,23:22:00.013,0,28,112,7280,141
8.562,23:22:00.013,0,28,54,7222,141
9.137,23:22:00.580,0,28,48,7216,142
9.137,23:22:00.580,0,28,96,7264,142
9.137,23:22:00.581,0,28,38,7206,142
9.137,23:22:00.581,0,27,222,7134,142
9.137,23:22:00.581,0,28,8,7176,143
9.137,23:22:00.581,0,28,54,7222,143
9.137,23:22:00.582,0,28,64,7232,143
9.137,23:22:00.582,0,28,30,7198,143
9.137,23:22:00.583,0,27,210,7122,143
9.137,23:22:00.583,0,27,226,7138,143
9.137,23:22:00.583,0,28,8,7176,144
9.847,23:22:01.291,0,28,82,7250,144
9.847,23:22:01.291,0,28,92,7260,144
9.847,23:22:01.291,0,28,102,7270,145
9.847,23:22:01.292,0,28,92,7260,145
9.847,23:22:01.292,0,28,62,7230,145
9.847,23:22:01.292,0,28,64,7232,145
9.847,23:22:01.293,0,27,222,7134,146
9.847,23:22:01.293,0,27,184,7096,146
9.847,23:22:01.293,0,27,198,7110,146
9.847,23:22:01.294,0,27,244,7156,146
9.847,23:22:01.294,0,28,50,7218,146
9.847,23:22:01.294,0,28,58,7226,146
9.847,23:22:01.295,0,28,82,7250,147
10.467,23:22:01.910,0,28,66,7234,147
10.467,23:22:01.910,0,28,32,7200,147
10.467,23:22:01.911,0,28,38,7206,147
10.467,23:22:01.911,0,28,30,7198,148
10.467,23:22:01.912,0,28,50,7218,148
10.467,23:22:01.913,0,28,70,7238,148
10.467,23:22:01.913,0,28,50,7218,148
10.467,23:22:01.914,0,28,52,7220,149
10.467,23:22:01.918,0,28,18,7186,149
10.467,23:22:01.919,0,28,16,7184,149
10.467,23:22:01.919,0,27,252,7164,149
11.116,23:22:02.559,0,27,232,7144,149
11.116,23:22:02.559,0,27,248,7160,150
11.116,23:22:02.560,0,27,212,7124,150
11.116,23:22:02.560,0,27,218,7130,150
11.116,23:22:02.560,0,27,216,7128,150
11.116,23:22:02.561,0,28,0,7168,151
11.116,23:22:02.561,0,28,48,7216,151
11.116,23:22:02.563,0,28,86,7254,151
11.116,23:22:02.564,0,28,56,7224,152
11.116,23:22:02.564,0,28,22,7190,152
11.116,23:22:02.564,0,28,28,7196,152
11.719,23:22:03.162,0,27,254,7166,153
11.719,23:22:03.163,0,28,34,7202,153
11.719,23:22:03.163,0,28,48,7216,153
11.719,23:22:03.163,0,28,24,7192,153
11.719,23:22:03.164,0,27,246,7158,153
11.719,23:22:03.164,0,28,46,7214,154
11.719,23:22:03.164,0,28,44,7212,154
11.719,23:22:03.164,0,28,70,7238,154
11.719,23:22:03.165,0,28,66,7234,154
11.719,23:22:03.165,0,28,16,7184,155
11.719,23:22:03.165,0,27,248,7160,155
12.295,23:22:03.738,0,28,56,7224,155
12.295,23:22:03.738,0,28,40,7208,155
12.295,23:22:03.738,0,28,22,7190,155
12.295,23:22:03.739,0,28,14,7182,155
12.295,23:22:03.739,0,28,60,7228,156
12.295,23:22:03.739,0,28,96,7264,156
12.295,23:22:03.740,0,28,78,7246,156
12.295,23:22:03.740,0,27,242,7154,157
12.295,23:22:03.740,0,27,226,7138,157
12.295,23:22:03.741,0,27,198,7110,157
12.898,23:22:04.341,0,27,230,7142,158
12.898,23:22:04.342,0,28,34,7202,158
12.898,23:22:04.342,0,28,20,7188,158
12.898,23:22:04.343,0,28,138,7306,159
12.898,23:22:04.343,0,28,136,7304,159
12.898,23:22:04.343,0,28,106,7274,159
12.898,23:22:04.343,0,27,178,7090,159
